rental_id,cliente,pelicula,categoria,rental_date,year,month,month_name,day,weekday,hour,primer_nombre,genero_estimado
10871,TAMMY SANDERS,AMERICAN CIRCUS,Action,2005-08-02 00:27:24,2005,8,August,2,Tuesday,0,tammy,Masculino
12667,JULIO NOLAND,AMERICAN CIRCUS,Action,2005-08-18 19:11:45,2005,8,August,18,Thursday,19,julio,Masculino
1940,JIM REA,AMERICAN CIRCUS,Action,2005-06-17 07:42:22,2005,6,June,17,Friday,7,jim,Masculino
6153,FRANCES PARKER,AMERICAN CIRCUS,Action,2005-07-11 09:31:04,2005,7,July,11,Monday,9,frances,Masculino
11257,TIM CARY,AMERICAN CIRCUS,Action,2005-08-02 13:45:05,2005,8,August,2,Tuesday,13,tim,Masculino
12755,ALEXANDER FENNELL,AMERICAN CIRCUS,Action,2005-08-18 22:38:47,2005,8,August,18,Thursday,22,alexander,Masculino
3732,BRIAN WYMAN,AMERICAN CIRCUS,Action,2005-07-06 11:33:37,2005,7,July,6,Wednesday,11,brian,Masculino
9050,AMANDA CARTER,AMERICAN CIRCUS,Action,2005-07-30 06:59:55,2005,7,July,30,Saturday,6,amanda,Femenino
13428,MARIE TURNER,AMERICAN CIRCUS,Action,2006-02-14 15:16:03,2006,2,February,14,Tuesday,15,marie,Femenino
7338,VICKIE BREWER,AMERICAN CIRCUS,Action,2005-07-27 14:13:34,2005,7,July,27,Wednesday,14,vickie,Femenino
12917,ALICIA MILLS,AMERICAN CIRCUS,Action,2005-08-19 04:27:11,2005,8,August,19,Friday,4,alicia,Femenino
1123,MIGUEL BETANCOURT,ANTITRUST TOMATOES,Action,2005-05-31 16:48:43,2005,5,May,31,Tuesday,16,miguel,Masculino
1189,VIOLA HANSON,ANTITRUST TOMATOES,Action,2005-06-15 01:04:22,2005,6,June,15,Wednesday,1,viola,Femenino
5785,STACEY MONTGOMERY,ANTITRUST TOMATOES,Action,2005-07-10 14:06:03,2005,7,July,10,Sunday,14,stacey,Masculino
9706,MILTON HOWLAND,ANTITRUST TOMATOES,Action,2005-07-31 07:43:19,2005,7,July,31,Sunday,7,milton,Masculino
13994,STACY CUNNINGHAM,ANTITRUST TOMATOES,Action,2005-08-20 19:33:21,2005,8,August,20,Saturday,19,stacy,Masculino
1134,JEANETTE GREENE,ANTITRUST TOMATOES,Action,2005-05-31 19:14:15,2005,5,May,31,Tuesday,19,jeanette,Femenino
2838,MISTY LAMBERT,ANTITRUST TOMATOES,Action,2005-06-19 22:06:06,2005,6,June,19,Sunday,22,misty,Masculino
3881,RONNIE RICKETTS,ANTITRUST TOMATOES,Action,2005-07-06 18:35:37,2005,7,July,6,Wednesday,18,ronnie,Femenino
7128,ERIK GUILLEN,ANTITRUST TOMATOES,Action,2005-07-27 06:14:36,2005,7,July,27,Wednesday,6,erik,Masculino
14123,JANICE WARD,ANTITRUST TOMATOES,Action,2005-08-21 01:31:25,2005,8,August,21,Sunday,1,janice,Femenino
3309,DARRELL POWER,BAREFOOT MANCHURIAN,Action,2005-06-21 08:00:49,2005,6,June,21,Tuesday,8,darrell,Masculino
4710,SETH HANNON,BAREFOOT MANCHURIAN,Action,2005-07-08 12:04:53,2005,7,July,8,Friday,12,seth,Masculino
10089,ERIN DUNN,BAREFOOT MANCHURIAN,Action,2005-07-31 20:17:09,2005,7,July,31,Sunday,20,erin,Masculino
15689,LENA JENSEN,BAREFOOT MANCHURIAN,Action,2005-08-23 09:52:55,2005,8,August,23,Tuesday,9,lena,Femenino
300,FRANCES PARKER,BAREFOOT MANCHURIAN,Action,2005-05-26 20:57:00,2005,5,May,26,Thursday,20,frances,Masculino
2189,REGINALD KINDER,BAREFOOT MANCHURIAN,Action,2005-06-18 01:20:26,2005,6,June,18,Saturday,1,reginald,Masculino
4982,LAUREN HUDSON,BAREFOOT MANCHURIAN,Action,2005-07-09 00:30:52,2005,7,July,9,Saturday,0,lauren,Masculino
9752,BETH FRANKLIN,BAREFOOT MANCHURIAN,Action,2005-07-31 09:22:02,2005,7,July,31,Sunday,9,beth,Masculino
15022,LESLIE SEWARD,BAREFOOT MANCHURIAN,Action,2005-08-22 08:55:43,2005,8,August,22,Monday,8,leslie,Femenino
7272,BENJAMIN VARNEY,BAREFOOT MANCHURIAN,Action,2005-07-27 11:30:20,2005,7,July,27,Wednesday,11,benjamin,Masculino
11666,JAMIE WAUGH,BAREFOOT MANCHURIAN,Action,2005-08-17 05:45:10,2005,8,August,17,Wednesday,5,jamie,Femenino
1340,ROBIN HAYES,BAREFOOT MANCHURIAN,Action,2005-06-15 12:24:15,2005,6,June,15,Wednesday,12,robin,Masculino
5426,BARRY LOVELACE,BAREFOOT MANCHURIAN,Action,2005-07-09 21:04:47,2005,7,July,9,Saturday,21,barry,Masculino
11379,KATHERINE RIVERA,BAREFOOT MANCHURIAN,Action,2005-08-02 18:16:55,2005,8,August,2,Tuesday,18,katherine,Femenino
15964,DEBBIE REYES,BAREFOOT MANCHURIAN,Action,2005-08-23 19:45:25,2005,8,August,23,Tuesday,19,debbie,Femenino
5839,ADAM GOOCH,BAREFOOT MANCHURIAN,Action,2005-07-10 17:08:30,2005,7,July,10,Sunday,17,adam,Masculino
9858,MARJORIE TUCKER,BAREFOOT MANCHURIAN,Action,2005-07-31 13:02:07,2005,7,July,31,Sunday,13,marjorie,Femenino
13910,PAULINE HENRY,BAREFOOT MANCHURIAN,Action,2005-08-20 16:30:49,2005,8,August,20,Saturday,16,pauline,Femenino
3946,KAREN JACKSON,BERETS AGENT,Action,2005-07-06 21:39:24,2005,7,July,6,Wednesday,21,karen,Masculino
8022,GEORGE LINTON,BERETS AGENT,Action,2005-07-28 15:48:56,2005,7,July,28,Thursday,15,george,Femenino
11743,JOSHUA MARK,BERETS AGENT,Action,2005-08-17 08:49:05,2005,8,August,17,Wednesday,8,joshua,Femenino
6015,ENRIQUE FORSYTHE,BERETS AGENT,Action,2005-07-11 02:04:12,2005,7,July,11,Monday,2,enrique,Femenino
10050,JOY GEORGE,BERETS AGENT,Action,2005-07-31 19:13:29,2005,7,July,31,Sunday,19,joy,Masculino
11993,WILLIAM SATTERFIELD,BERETS AGENT,Action,2005-08-17 18:27:49,2005,8,August,17,Wednesday,18,william,Masculino
1527,MELANIE ARMSTRONG,BERETS AGENT,Action,2005-06-16 00:31:40,2005,6,June,16,Thursday,0,melanie,Femenino
6003,CORY MEEHAN,BERETS AGENT,Action,2005-07-11 01:28:33,2005,7,July,11,Monday,1,cory,Masculino
8802,DALE RATCLIFF,BERETS AGENT,Action,2005-07-29 21:25:51,2005,7,July,29,Friday,21,dale,Femenino
12182,DWIGHT LOMBARDI,BERETS AGENT,Action,2005-08-18 01:30:19,2005,8,August,18,Thursday,1,dwight,Masculino
6097,JEFFERY PINSON,BERETS AGENT,Action,2005-07-11 06:21:43,2005,7,July,11,Monday,6,jeffery,Masculino
10488,ALFRED CASILLAS,BERETS AGENT,Action,2005-08-01 10:27:27,2005,8,August,1,Monday,10,alfred,Masculino
11744,JESSICA HALL,BERETS AGENT,Action,2005-08-17 08:54:30,2005,8,August,17,Wednesday,8,jessica,Femenino
4914,JAVIER ELROD,BERETS AGENT,Action,2005-07-08 21:30:53,2005,7,July,8,Friday,21,javier,Masculino
7574,JEANNE LAWSON,BERETS AGENT,Action,2005-07-27 22:53:00,2005,7,July,27,Wednesday,22,jeanne,Femenino
12064,SONIA GREGORY,BERETS AGENT,Action,2006-02-14 15:16:03,2006,2,February,14,Tuesday,15,sonia,Femenino
835,BOBBY BOUDREAU,BERETS AGENT,Action,2005-05-29 23:37:00,2005,5,May,29,Sunday,23,bobby,Masculino
3330,SHELLY WATTS,BERETS AGENT,Action,2005-06-21 09:22:37,2005,6,June,21,Tuesday,9,shelly,Masculino
6696,PRISCILLA LOWE,BERETS AGENT,Action,2005-07-12 12:44:04,2005,7,July,12,Tuesday,12,priscilla,Femenino
7436,JANET PHILLIPS,BERETS AGENT,Action,2005-07-27 17:39:12,2005,7,July,27,Wednesday,17,janet,Masculino
13609,JEFFREY SPEAR,BERETS AGENT,Action,2005-08-20 06:11:51,2005,8,August,20,Saturday,6,jeffrey,Masculino
5422,RODNEY MOELLER,BRIDE INTRIGUE,Action,2005-07-09 20:55:47,2005,7,July,9,Saturday,20,rodney,Masculino
9887,NELSON CHRISTENSON,BRIDE INTRIGUE,Action,2005-07-31 14:00:32,2005,7,July,31,Sunday,14,nelson,Masculino
11497,NANCY THOMAS,BRIDE INTRIGUE,Action,2005-08-16 22:52:30,2005,8,August,16,Tuesday,22,nancy,Masculino
8131,LEONA OBRIEN,BRIDE INTRIGUE,Action,2005-07-28 19:55:21,2005,7,July,28,Thursday,19,leona,Femenino
14156,JOANNE ROBERTSON,BRIDE INTRIGUE,Action,2005-08-21 02:35:16,2005,8,August,21,Sunday,2,joanne,Femenino
4406,MIGUEL BETANCOURT,BRIDE INTRIGUE,Action,2005-07-07 21:35:16,2005,7,July,7,Thursday,21,miguel,Masculino
10037,JEAN BELL,BRIDE INTRIGUE,Action,2005-07-31 18:48:08,2005,7,July,31,Sunday,18,jean,Masculino
15994,TERRENCE GUNDERSON,BRIDE INTRIGUE,Action,2005-08-23 20:29:10,2005,8,August,23,Tuesday,20,terrence,Femenino
4105,ALFRED CASILLAS,BRIDE INTRIGUE,Action,2005-07-07 06:31:00,2005,7,July,7,Thursday,6,alfred,Masculino
7941,CASEY MENA,BRIDE INTRIGUE,Action,2005-07-28 12:47:20,2005,7,July,28,Thursday,12,casey,Masculino
11733,VICKIE BREWER,BRIDE INTRIGUE,Action,2005-08-17 08:31:03,2005,8,August,17,Wednesday,8,vickie,Femenino
5695,TOMMY COLLAZO,BRIDE INTRIGUE,Action,2005-07-10 09:43:40,2005,7,July,10,Sunday,9,tommy,Masculino
8878,DEBORAH WALKER,BRIDE INTRIGUE,Action,2005-07-30 00:15:57,2005,7,July,30,Saturday,0,deborah,Masculino
14031,LAWRENCE LAWTON,BRIDE INTRIGUE,Action,2005-08-20 21:24:24,2005,8,August,20,Saturday,21,lawrence,Femenino
800,GREG ROBINS,BRIDE INTRIGUE,Action,2005-05-29 17:28:12,2005,5,May,29,Sunday,17,greg,Masculino
2524,FLOYD GANDY,BRIDE INTRIGUE,Action,2005-06-19 00:48:11,2005,6,June,19,Sunday,0,floyd,Masculino
6320,CHESTER BENNER,BRIDE INTRIGUE,Action,2005-07-11 18:50:55,2005,7,July,11,Monday,18,chester,Masculino
8882,CURTIS IRBY,BRIDE INTRIGUE,Action,2005-07-30 00:24:05,2005,7,July,30,Saturday,0,curtis,Masculino
14784,EDITH MCDONALD,BRIDE INTRIGUE,Action,2005-08-22 00:23:13,2005,8,August,22,Monday,0,edith,Masculino
4613,VIRGIL WOFFORD,BULL SHAWSHANK,Action,2005-07-08 07:44:49,2005,7,July,8,Friday,7,virgil,Masculino
10266,JOYCE EDWARDS,BULL SHAWSHANK,Action,2005-08-01 03:05:59,2005,8,August,1,Monday,3,joyce,Femenino
14605,CHRIS BROTHERS,BULL SHAWSHANK,Action,2005-08-21 17:56:06,2005,8,August,21,Sunday,17,chris,Masculino
11388,FRED WHEAT,BULL SHAWSHANK,Action,2005-08-02 18:35:55,2005,8,August,2,Tuesday,18,fred,Masculino
14657,VIOLA HANSON,BULL SHAWSHANK,Action,2005-08-21 19:39:43,2005,8,August,21,Sunday,19,viola,Femenino
2986,ARMANDO GRUBER,BULL SHAWSHANK,Action,2005-06-20 08:50:28,2005,6,June,20,Monday,8,armando,Masculino
5251,DUSTIN GILLETTE,BULL SHAWSHANK,Action,2005-07-09 13:36:10,2005,7,July,9,Saturday,13,dustin,Masculino
10966,SALVADOR TEEL,BULL SHAWSHANK,Action,2005-08-02 04:00:47,2005,8,August,2,Tuesday,4,salvador,Masculino
11646,LISA ANDERSON,BULL SHAWSHANK,Action,2006-02-14 15:16:03,2006,2,February,14,Tuesday,15,lisa,Femenino
6114,STANLEY SCROGGINS,BULL SHAWSHANK,Action,2005-07-11 07:33:48,2005,7,July,11,Monday,7,stanley,Masculino
8366,DEBRA NELSON,BULL SHAWSHANK,Action,2005-07-29 05:11:14,2005,7,July,29,Friday,5,debra,Femenino
11637,FELICIA SUTTON,BULL SHAWSHANK,Action,2005-08-17 04:36:39,2005,8,August,17,Wednesday,4,felicia,Femenino
1965,MABEL HOLLAND,BULL SHAWSHANK,Action,2005-06-17 09:17:39,2005,6,June,17,Friday,9,mabel,Masculino
6256,JOSEPH JOY,BULL SHAWSHANK,Action,2005-07-11 15:19:22,2005,7,July,11,Monday,15,joseph,Masculino
9059,MARGIE WADE,BULL SHAWSHANK,Action,2005-07-30 07:18:44,2005,7,July,30,Saturday,7,margie,Femenino
11548,MATTHEW MAHAN,BULL SHAWSHANK,Action,2005-08-17 00:59:47,2005,8,August,17,Wednesday,0,matthew,Masculino
1057,SHEILA WELLS,CADDYSHACK JEDI,Action,2005-05-31 07:58:06,2005,5,May,31,Tuesday,7,sheila,Femenino
1794,TOM MILNER,CADDYSHACK JEDI,Action,2005-06-16 20:08:37,2005,6,June,16,Thursday,20,tom,Masculino
5856,GEORGE LINTON,CADDYSHACK JEDI,Action,2005-07-10 17:57:32,2005,7,July,10,Sunday,17,george,Femenino
7165,LYDIA BURKE,CADDYSHACK JEDI,Action,2005-07-27 07:36:46,2005,7,July,27,Wednesday,7,lydia,Femenino
15797,ANGEL BARCLAY,CADDYSHACK JEDI,Action,2005-08-23 14:13:47,2005,8,August,23,Tuesday,14,angel,Masculino
6426,CHARLIE BESS,CADDYSHACK JEDI,Action,2005-07-11 23:56:38,2005,7,July,11,Monday,23,charlie,Femenino
10286,NEIL RENNER,CADDYSHACK JEDI,Action,2005-08-01 03:35:58,2005,8,August,1,Monday,3,neil,Masculino
11976,LOUIS LEONE,CADDYSHACK JEDI,Action,2005-08-17 17:59:19,2005,8,August,17,Wednesday,17,louis,Masculino
4386,GEORGE LINTON,CADDYSHACK JEDI,Action,2005-07-07 20:55:19,2005,7,July,7,Thursday,20,george,Femenino
9820,DIANNE SHELTON,CADDYSHACK JEDI,Action,2005-07-31 11:46:57,2005,7,July,31,Sunday,11,dianne,Femenino
11622,CHARLENE ALVAREZ,CADDYSHACK JEDI,Action,2005-08-17 04:15:46,2005,8,August,17,Wednesday,4,charlene,Femenino
700,EDITH MCDONALD,CADDYSHACK JEDI,Action,2005-05-29 02:18:54,2005,5,May,29,Sunday,2,edith,Masculino
1832,CHARLENE ALVAREZ,CADDYSHACK JEDI,Action,2005-06-16 22:35:20,2005,6,June,16,Thursday,22,charlene,Femenino
4036,JIMMY SCHRADER,CADDYSHACK JEDI,Action,2005-07-07 02:48:00,2005,7,July,7,Thursday,2,jimmy,Masculino
9191,GEORGE LINTON,CADDYSHACK JEDI,Action,2005-07-30 12:25:51,2005,7,July,30,Saturday,12,george,Femenino
15803,DAWN SULLIVAN,CADDYSHACK JEDI,Action,2005-08-23 14:27:07,2005,8,August,23,Tuesday,14,dawn,Masculino
11386,IDA ANDREWS,CAMPUS REMEMBER,Action,2005-08-02 18:24:03,2005,8,August,2,Tuesday,18,ida,Femenino
11725,JANET PHILLIPS,CAMPUS REMEMBER,Action,2005-08-17 08:09:00,2005,8,August,17,Wednesday,8,janet,Masculino
8577,JEFFREY SPEAR,CAMPUS REMEMBER,Action,2005-07-29 11:56:30,2005,7,July,29,Friday,11,jeffrey,Masculino
13095,MILTON HOWLAND,CAMPUS REMEMBER,Action,2005-08-19 10:48:10,2005,8,August,19,Friday,10,milton,Masculino
11316,TRACY COLE,CAMPUS REMEMBER,Action,2005-08-02 16:07:49,2005,8,August,2,Tuesday,16,tracy,Masculino
15306,PATRICK NEWSOM,CAMPUS REMEMBER,Action,2005-08-22 19:46:36,2005,8,August,22,Monday,19,patrick,Masculino
1073,JAMIE RICE,CAMPUS REMEMBER,Action,2005-05-31 09:55:04,2005,5,May,31,Tuesday,9,jamie,Femenino
2981,JESSE SCHILLING,CAMPUS REMEMBER,Action,2005-06-20 08:35:17,2005,6,June,20,Monday,8,jesse,Femenino
6379,BECKY MILES,CAMPUS REMEMBER,Action,2005-07-11 21:51:25,2005,7,July,11,Monday,21,becky,Masculino
10381,ALLEN BUTTERFIELD,CAMPUS REMEMBER,Action,2005-08-01 06:36:37,2005,8,August,1,Monday,6,allen,Masculino
12177,GORDON ALLARD,CAMPUS REMEMBER,Action,2005-08-18 01:15:47,2005,8,August,18,Thursday,1,gordon,Masculino
1432,WALTER PERRYMAN,CAMPUS REMEMBER,Action,2005-06-15 18:27:24,2005,6,June,15,Wednesday,18,walter,Masculino
6717,PRISCILLA LOWE,CAMPUS REMEMBER,Action,2005-07-12 13:35:02,2005,7,July,12,Tuesday,13,priscilla,Femenino
10324,DEBORAH WALKER,CAMPUS REMEMBER,Action,2005-08-01 04:49:06,2005,8,August,1,Monday,4,deborah,Masculino
13193,KIM CRUZ,CAMPUS REMEMBER,Action,2005-08-19 14:33:45,2005,8,August,19,Friday,14,kim,Masculino
10084,CLAUDE HERZOG,CAMPUS REMEMBER,Action,2005-07-31 20:11:29,2005,7,July,31,Sunday,20,claude,Femenino
15269,CAROLE BARNETT,CAMPUS REMEMBER,Action,2005-08-22 18:39:44,2005,8,August,22,Monday,18,carole,Femenino
10027,BECKY MILES,CAMPUS REMEMBER,Action,2005-07-31 18:33:51,2005,7,July,31,Sunday,18,becky,Masculino
14033,LYDIA BURKE,CAMPUS REMEMBER,Action,2005-08-20 21:30:53,2005,8,August,20,Saturday,21,lydia,Femenino
9387,CHARLIE BESS,CASUALTIES ENCINO,Action,2005-07-30 19:27:05,2005,7,July,30,Saturday,19,charlie,Femenino
13782,RICHARD MCCRARY,CASUALTIES ENCINO,Action,2005-08-20 12:09:26,2005,8,August,20,Saturday,12,richard,Masculino
860,BRANDY GRAVES,CASUALTIES ENCINO,Action,2005-05-30 02:45:16,2005,5,May,30,Monday,2,brandy,Masculino
3352,BEN EASTER,CASUALTIES ENCINO,Action,2005-06-21 11:26:29,2005,6,June,21,Tuesday,11,ben,Masculino
3738,KELLY KNOTT,CASUALTIES ENCINO,Action,2005-07-06 11:50:57,2005,7,July,6,Wednesday,11,kelly,Masculino
9414,ROBERTO VU,CASUALTIES ENCINO,Action,2005-07-30 20:46:02,2005,7,July,30,Saturday,20,roberto,Masculino
13260,VICKIE BREWER,CASUALTIES ENCINO,Action,2005-08-19 17:09:22,2005,8,August,19,Friday,17,vickie,Femenino
7503,LINDA WILLIAMS,CASUALTIES ENCINO,Action,2005-07-27 20:23:12,2005,7,July,27,Wednesday,20,linda,Femenino
14512,ALICE STEWART,CASUALTIES ENCINO,Action,2005-08-21 14:47:09,2005,8,August,21,Sunday,14,alice,Femenino
3596,CHAD CARBONE,CELEBRITY HORN,Action,2005-07-06 05:03:11,2005,7,July,6,Wednesday,5,chad,Masculino
9099,JO FOWLER,CELEBRITY HORN,Action,2005-07-30 08:45:48,2005,7,July,30,Saturday,8,jo,Masculino
13626,JARED ELY,CELEBRITY HORN,Action,2005-08-20 06:55:24,2005,8,August,20,Saturday,6,jared,Masculino
595,SHELLY WATTS,CELEBRITY HORN,Action,2005-05-28 13:59:54,2005,5,May,28,Saturday,13,shelly,Masculino
1562,JOHNNY TURPIN,CELEBRITY HORN,Action,2005-06-16 02:46:27,2005,6,June,16,Thursday,2,johnny,Masculino
6055,ETHEL WEBB,CELEBRITY HORN,Action,2005-07-11 03:59:08,2005,7,July,11,Monday,3,ethel,Masculino
9211,EVELYN MORGAN,CELEBRITY HORN,Action,2005-07-30 12:59:45,2005,7,July,30,Saturday,12,evelyn,Masculino
13759,CASSANDRA WALTERS,CELEBRITY HORN,Action,2005-08-20 11:24:48,2005,8,August,20,Saturday,11,cassandra,Femenino
3402,BRITTANY RILEY,CELEBRITY HORN,Action,2005-06-21 15:54:37,2005,6,June,21,Tuesday,15,brittany,Masculino
4691,ELLEN SIMPSON,CELEBRITY HORN,Action,2005-07-08 11:04:53,2005,7,July,8,Friday,11,ellen,Masculino
10808,COREY HAUSER,CELEBRITY HORN,Action,2005-08-01 22:37:11,2005,8,August,1,Monday,22,corey,Masculino
11742,GORDON ALLARD,CELEBRITY HORN,Action,2005-08-17 08:48:43,2005,8,August,17,Wednesday,8,gordon,Masculino
459,TIM CARY,CELEBRITY HORN,Action,2005-05-27 20:00:04,2005,5,May,27,Friday,20,tim,Masculino
2320,HUGH WALDROP,CELEBRITY HORN,Action,2005-06-18 09:24:50,2005,6,June,18,Saturday,9,hugh,Masculino
4143,NELLIE GARRETT,CELEBRITY HORN,Action,2005-07-07 08:22:07,2005,7,July,7,Thursday,8,nellie,Femenino
9480,LOUIS LEONE,CELEBRITY HORN,Action,2005-07-30 23:26:03,2005,7,July,30,Saturday,23,louis,Masculino
13530,BERTHA FERGUSON,CELEBRITY HORN,Action,2005-08-20 03:12:43,2005,8,August,20,Saturday,3,bertha,Femenino
10894,ALICE STEWART,CELEBRITY HORN,Action,2005-08-02 01:12:35,2005,8,August,2,Tuesday,1,alice,Femenino
15817,ROGER QUINTANILLA,CELEBRITY HORN,Action,2005-08-23 14:59:51,2005,8,August,23,Tuesday,14,roger,Masculino
598,JILL HAWKINS,CELEBRITY HORN,Action,2005-05-28 14:04:50,2005,5,May,28,Saturday,14,jill,Masculino
2458,SIDNEY BURLESON,CELEBRITY HORN,Action,2005-06-18 19:39:05,2005,6,June,18,Saturday,19,sidney,Masculino
3565,ANNIE RUSSELL,CELEBRITY HORN,Action,2005-07-06 03:02:58,2005,7,July,6,Wednesday,3,annie,Femenino
8539,TIMOTHY BUNN,CELEBRITY HORN,Action,2005-07-29 10:48:24,2005,7,July,29,Friday,10,timothy,Masculino
13563,BRANDON HUEY,CELEBRITY HORN,Action,2005-08-20 04:33:31,2005,8,August,20,Saturday,4,brandon,Masculino
10116,CYNTHIA YOUNG,CLUELESS BUCKET,Action,2005-07-31 21:14:02,2005,7,July,31,Sunday,21,cynthia,Femenino
15704,KATHY JAMES,CLUELESS BUCKET,Action,2005-08-23 10:25:45,2005,8,August,23,Tuesday,10,kathy,Masculino
651,NORA HERRERA,CLUELESS BUCKET,Action,2005-05-28 19:46:50,2005,5,May,28,Saturday,19,nora,Femenino
2059,GRACE ELLIS,CLUELESS BUCKET,Action,2005-06-17 15:36:12,2005,6,June,17,Friday,15,grace,Femenino
6719,SCOTT SHELLEY,CLUELESS BUCKET,Action,2005-07-12 13:40:37,2005,7,July,12,Tuesday,13,scott,Masculino
10423,MARIA MILLER,CLUELESS BUCKET,Action,2005-08-01 08:19:53,2005,8,August,1,Monday,8,maria,Femenino
15152,SHANNON FREEMAN,CLUELESS BUCKET,Action,2005-08-22 14:25:21,2005,8,August,22,Monday,14,shannon,Masculino
1885,MARION OCAMPO,CLUELESS BUCKET,Action,2005-06-17 03:35:59,2005,6,June,17,Friday,3,marion,Masculino
5897,MARVIN YEE,CLUELESS BUCKET,Action,2005-07-10 20:16:14,2005,7,July,10,Sunday,20,marvin,Masculino
10590,LORI WOOD,CLUELESS BUCKET,Action,2005-08-01 14:11:53,2005,8,August,1,Monday,14,lori,Masculino
15429,HEIDI LARSON,CLUELESS BUCKET,Action,2005-08-23 00:20:31,2005,8,August,23,Tuesday,0,heidi,Masculino
6372,JUDITH COX,CLUELESS BUCKET,Action,2005-07-11 21:35:06,2005,7,July,11,Monday,21,judith,Masculino
7346,PATRICIA JOHNSON,CLUELESS BUCKET,Action,2005-07-27 14:30:42,2005,7,July,27,Wednesday,14,patricia,Femenino
